Column1,truth_id,detection_id,stamp_sec,frame_nb,occlusion_severity,merged_or_truncated,truth_width,truth_height,det_width,det_height,truth_box,det_box
3,508,508,1628506192,0,6.66667E+15,truncated,2.96875E+16,5.5E+15,1.35417E+15,5.5E+16,"[0.05, 0.105, 0.7192708333333333, 0.7489583333333333]","[0.05000000074505806, 0.10500000044703484, 0.7197916666045785, 0.7333333333954215, 0.0, 0.0]"
7,404,404,1628506192,0,1.30036E+16,merged,4.27083E+15,8.33333E+15,4.27083E+15,1.08333E+16,"[0.10166666666666667, 0.15083333333333335, 0.4578125, 0.4895833333333333]","[0.023333333432674408, 0.1316666677594185, 0.42187500186264515, 0.46458333544433117, 0.0, 0.0]"
23,404,404,1628506192,1,1.51639E+16,merged,4.375E+15,8.41667E+15,4.375E+15,1.08333E+16,"[0.10166666666666667, 0.15166666666666667, 0.45677083333333335, 0.48854166666666665]","[0.024166665971279144, 0.13250000029802322, 0.4208333436399698, 0.46458334289491177, 0.0, 0.0]"
35,404,404,1628506192,2,1.47622E+15,merged,4.42708E+15,8.41667E+15,4.42708E+14,1.09167E+16,"[0.1025, 0.15166666666666667, 0.4557291666666667, 0.48802083333333335]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323, 0.0, 0.0]"
48,404,404,1628506192,3,1.61749E+16,merged,4.42708E+15,8.41667E+15,4.42708E+14,1.09167E+16,"[0.10166666666666667, 0.1525, 0.4552083333333333, 0.4864583333333333]","[0.024166665971279144, 0.13333333283662796, 0.4197916593402624, 0.4640624914318323, 0.0, 0.0]"
59,404,404,1628506192,4,1.85714E+16,merged,4.63542E+15,8.5E+15,4.63542E+15,1.1E+16,"[0.10083333333333333, 0.15333333333333332, 0.4546875, 0.4859375]","[0.024166665971279144, 0.1341666653752327, 0.4177083410322666, 0.46406250819563866, 0.0, 0.0]"
64,508,508,1628506192,5,6.55172E+15,truncated,3.02083E+15,5.33333E+15,1.45833E+16,5.33333E+14,"[0.04833333333333333, 0.10166666666666667, 0.71875, 0.7489583333333333]","[0.04833333566784859, 0.10166667029261589, 0.7187500079162419, 0.7333333413116634, 0.0, 0.0]"
72,404,404,1628506192,5,1.94086E+16,merged,4.63542E+15,8.58333E+15,4.63542E+15,1.10833E+16,"[0.1025, 0.15416666666666667, 0.45416666666666666, 0.48541666666666666]","[0.024166665971279144, 0.13499999791383743, 0.4177083410322666, 0.46406250819563866, 0.0, 0.0]"
78,508,508,1628506192,6,6E+15,truncated,2.60417E+15,5.41667E+15,15625,5.41667E+15,"[0.0475, 0.10166666666666667, 0.7182291666666667, 0.7442708333333333]","[0.04750000312924385, 0.10166667029261589, 0.7182291746139526, 0.7338541746139526, 0.0, 0.0]"
85,404,404,1628506192,6,1.92818E+15,merged,4.63542E+15,8.66667E+15,4.63542E+15,1.125E+16,"[0.1025, 0.155, 0.453125, 0.48489583333333336]","[0.023333333432674408, 0.13583333045244217, 0.41718748584389687, 0.4635416530072689, 0.0, 0.0]"
92,404,404,1628506192,7,1.80857E+15,merged,4.63542E+16,8.66667E+15,4.63542E+15,1.11667E+16,"[0.105, 0.15583333333333332, 0.45260416666666664, 0.48489583333333336]","[0.024166665971279144, 0.13583333045244217, 0.4166666604578495, 0.46302082762122154, 0.0, 0.0]"
108,404,404,1628506192,8,1.91257E+16,merged,46875,875,46875,1.125E+16,"[0.10666666666666667, 0.15666666666666668, 0.45208333333333334, 0.48385416666666664]","[0.024166665971279144, 0.1366666629910469, 0.41614583134651184, 0.46302083134651184, 0.0, 0.0]"
120,404,404,1628506193,9,2.06089E+16,merged,4.58333E+15,875,4.58333E+15,1.125E+16,"[0.10583333333333333, 0.15666666666666668, 0.4505208333333333, 0.48333333333333334]","[0.024166665971279144, 0.1366666629910469, 0.4166666641831398, 0.4624999985098839, 0.0, 0.0]"
121,776,776,1628506193,9,2.39017E+16,merged,8.22917E+15,1.13333E+16,8.22917E+15,1.13333E+15,"[0.36916666666666664, 0.4825, 0.8973958333333333, 0.9796875]","[0.36916667595505714, 0.48250001296401024, 0.89791664108634, 0.9802083112299442, 0.0, 0.0]"
132,404,404,1628506193,10,2.12798E+16,merged,4.58333E+15,8.83333E+15,4.58333E+15,1.13333E+15,"[0.10416666666666667, 0.1575, 0.45, 0.4828125]","[0.024166662245988846, 0.13749999925494194, 0.4156250134110451, 0.46145834773778915, 0.0, 0.0]"
148,404,404,1628506193,11,2.19231E+16,merged,46875,8.91667E+15,46875,1.14167E+16,"[0.10583333333333333, 0.16, 0.4484375, 0.4817708333333333]","[0.024166662245988846, 0.13833333179354668, 0.4140625, 0.4609375, 0.0, 0.0]"
162,404,404,1628506193,12,1.88492E+14,merged,4.53125E+15,8.91667E+15,4.53125E+15,1.14167E+16,"[0.05, 0.13916666666666666, 0.41302083333333334, 0.4583333333333333]","[0.02500000223517418, 0.139166671782732, 0.41354165598750114, 0.45885415747761726, 0.0, 0.0]"
171,404,404,1628506193,13,2.03077E+15,merged,46875,8.91667E+15,46875,1.14167E+16,"[0.05, 0.13916666666666666, 0.4114583333333333, 0.4583333333333333]","[0.02500000223517418, 0.139166671782732, 0.4114583432674408, 0.4583333432674408, 0.0, 0.0]"
178,792,792,1628506193,14,9.81481E+15,merged,5.625E+15,1.4E+16,5.625E+15,1.4E+16,"[0.07, 0.21, 0.7427083333333333, 0.7989583333333333]","[0.07000000029802322, 0.21000000089406967, 0.7432291395962238, 0.7994791381061077, 0.0, 0.0]"
179,621,621,1628506193,14,9.81481E+15,merged,5.625E+15,1.425E+16,5.625E+15,1.43333E+15,"[0.07, 0.21, 0.7427083333333333, 0.7989583333333333]","[0.06833333522081375, 0.21166666597127914, 0.743750024586916, 0.8000000230967999, 0.0, 0.0]"
198,792,792,1628506193,15,2.97907E+15,merged,5.41667E+16,135,5.41667E+15,1.35E+16,"[0.07583333333333334, 0.21083333333333334, 0.7432291666666667, 0.7973958333333333]","[0.07666666060686111, 0.21166666597127914, 0.7437499798834324, 0.7979166470468044, 0.0, 0.0]"
